movieId,degree,m_degree,f_degree
318,9.375990694,9.256379286,9.422908693
356,9.058790904,9.062396007,8.984108709
296,8.892746855,8.956484976,8.763363266
593,8.63847186,8.715101093,8.499040448
2571,8.472909817,8.411486595,8.471944229
260,8.335067308,8.431848345,8.178238561
527,7.933745119,7.911956989,7.903063138
110,7.579014328,7.610871837,7.496469157
480,7.550161133,7.610967448,7.434720092
50,7.522174856,7.54955209,7.449738104
2959,7.516434541,7.445153927,7.539647804
1196,7.511136876,7.584148874,7.389636662
1,7.454761776,7.589406296,7.272113254
1198,7.426891953,7.438932884,7.367799314
858,7.41501257,7.409685079,7.376320672
1210,7.39315564,7.420444814,7.317448609
4993,7.293137632,7.30919055,7.232648791
589,7.259706045,7.266896934,7.205314169
2858,7.215203666,7.296297639,7.090244416
7153,7.081929398,7.082099716,7.040274338
5952,7.024120714,7.039340489,6.968062323
150,6.977648565,6.926952763,6.984490306
457,6.948844683,7.013943222,6.841667931
47,6.940674501,6.947209971,6.893412387
608,6.918552372,7.032093935,6.765284085
1270,6.898359016,6.981850404,6.774516673
2028,6.846208521,6.799613791,6.852769305
32,6.821659382,6.901787659,6.700545247
2762,6.634755534,6.626452385,6.605963255
780,6.547441908,6.726910108,6.321269821
4226,6.437474261,6.404707692,6.438065002
58559,6.425669114,6.379409247,6.439662579
3578,6.386446318,6.430910869,6.307720959
590,6.385247765,6.367555126,6.364907398
588,6.370894378,6.402822601,6.300776278
1193,6.340123499,6.30661254,6.342955817
364,6.298096708,6.306107781,6.255185305
1197,6.29597016,6.303662666,6.257405839
1221,6.275712914,6.30530901,6.217695865
592,6.258622103,6.258594781,6.21809207
1704,6.256608001,6.190817016,6.29009709
79132,6.251473319,6.243438223,6.229816654
1291,6.222145571,6.182719147,6.229207177
541,6.192688983,6.190333666,6.165754072
4306,6.184462898,6.182223684,6.152486755
1136,6.180960754,6.111917302,6.21926111
1214,6.115794809,6.203691606,5.997744383
380,6.107971389,6.058769711,6.119710224
1240,6.065064712,6.046973906,6.051587858
4973,5.965840376,5.956141729,5.948956876
1213,5.963626214,6.026695014,5.874826728
1089,5.955766916,5.945764035,5.939357406
1265,5.955533555,6.012751057,5.868444408
293,5.949607678,5.977880859,5.89510515
1036,5.94161462,5.919647236,5.934335116
377,5.910164379,5.926858172,5.859330746
595,5.900413205,5.934170743,5.836632606
7361,5.871938377,5.796844584,5.921566935
2329,5.861139272,5.862507556,5.835119576
1097,5.85609577,5.870165687,5.813142106
111,5.822293639,5.827397131,5.793302351
1580,5.812573744,5.884033727,5.711309619
6539,5.809625152,5.739919757,5.84997018
912,5.803870624,5.823368272,5.761427951
648,5.791613551,5.894068222,5.657515769
6377,5.787725477,5.754149637,5.794039065
1200,5.773433166,5.79085343,5.730799587
1617,5.74068968,5.761934748,5.695421852
4886,5.739219204,5.722954268,5.729410328
733,5.734214756,5.73709472,5.702596225
1258,5.732170739,5.711643588,5.728282736
3147,5.727961992,5.755076906,5.677740568
1682,5.727359075,5.747654456,5.680833467
1721,5.698191149,5.705275643,5.658411093
778,5.696209013,5.669631389,5.69918875
4995,5.69396823,5.727622407,5.635652209
2997,5.689583866,5.723946091,5.630917776
6874,5.651747258,5.644350994,5.633775969
1206,5.650404055,5.703100479,5.573811291
165,5.647621701,5.612017056,5.652184534
924,5.635529654,5.713631345,5.532605825
750,5.633247583,5.673993774,5.572533812
33794,5.614203284,5.612708374,5.592286538
1208,5.601770964,5.620118399,5.564970273
1527,5.59943233,5.598812122,5.575050171
1961,5.589861652,5.626453265,5.532002418
2716,5.567762041,5.569324569,5.541241567
2324,5.562241884,5.518019162,5.585686687
4963,5.545560224,5.589151678,5.477037072
1222,5.526313752,5.535310273,5.496842773
5418,5.508075199,5.557144017,5.43574336
